bucket_month,event_type,developer_id,developer_name,repo_artifact_namespace,project_id,relationship_type
2024-03-01,COMMIT_CODE,HAedheWULQEG4A1QHcTbsUX1uKisnmstAjvTm7hw/88=,jayantk,pyth-network,7CbZT+Alw8Biv6iCgptzNOvAwOUFg3FBfHQ/Msuw4no=,BUILDER
2024-03-01,COMMIT_CODE,rSEK+OFudebKyNgtdukRCZdtTp2fQqdunwNS6MLnV6I=,matthewlilley,sushiswap,v9C8yfcPG3QTWruewgVAij9YK5/W6p+8H4kaTIllhjE=,BUILDER
2024-01-01,COMMIT_CODE,rSEK+OFudebKyNgtdukRCZdtTp2fQqdunwNS6MLnV6I=,matthewlilley,sushiswap,v9C8yfcPG3QTWruewgVAij9YK5/W6p+8H4kaTIllhjE=,BUILDER
2024-09-01,COMMIT_CODE,rSEK+OFudebKyNgtdukRCZdtTp2fQqdunwNS6MLnV6I=,matthewlilley,sushiswap,v9C8yfcPG3QTWruewgVAij9YK5/W6p+8H4kaTIllhjE=,BUILDER
2023-08-01,PULL_REQUEST_OPENED,clVf2Jc8EyGPi8vS6PsJbE+KeaNuhrHjR/85EL40CFI=,arijoon,openzeppelin,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,DEVTOOL
2024-12-01,FORKED,v8uS1OxtDwwbNEPLSxceX9PGuf8ifjqlVAxClNTUAbg=,salil-naik,wevm,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,DEVTOOL
2020-12-01,ISSUE_OPENED,rSEK+OFudebKyNgtdukRCZdtTp2fQqdunwNS6MLnV6I=,matthewlilley,cgewecke,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,DEVTOOL
2023-10-01,FORKED,xCYOS8hy2MtjnJ+FAtLtHF8oBDs9R65d03x5CwwCy60=,sejeff,crytic,Fl3O8Ez0wQeEb5Hy/pug5OM0n+d4al5scUTbVdr5r4s=,DEVTOOL
2023-09-01,STARRED,xCYOS8hy2MtjnJ+FAtLtHF8oBDs9R65d03x5CwwCy60=,sejeff,pcaversaccio,CO4y3z3N8dYNgMFAplseDCMMZ2OVKhfJ6Ibj4FkCfpI=,DEVTOOL
2024-01-01,ISSUE_COMMENT,SU/rMc4Lt13vz4o4bsOVr4JJFP5S2ZQ5iM/qRMuhq6g=,jmrossy,wevm,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,DEVTOOL
2024-09-01,COMMIT_CODE,clVf2Jc8EyGPi8vS6PsJbE+KeaNuhrHjR/85EL40CFI=,arijoon,rhinofi,MspzzRETJtb5Cb7xSMB4yt4NqWplXCGWjfnoPIqKNWg=,BUILDER
2024-02-01,COMMIT_CODE,auT892Z87LMJsLLkskT3Vwk/Q4Rd5ZQ5SiSSJi1b26U=,matt5346,ovnstable,oi4zl2ydWVbAZWhnjbwNApnTmSk++LGqMoLt4LCYE4A=,BUILDER
2024-12-01,COMMIT_CODE,ankQRckFrfuU1riqv3hb21LHrhU8TA8nWF9tOgguup0=,emreboga,wormhole-foundation,/48A4/LZsBf1ztk3blMoY9kPQjx8knNp/EabsEszQ4Y=,BUILDER
2025-03-01,COMMIT_CODE,ankQRckFrfuU1riqv3hb21LHrhU8TA8nWF9tOgguup0=,emreboga,wormhole-foundation,/48A4/LZsBf1ztk3blMoY9kPQjx8knNp/EabsEszQ4Y=,BUILDER
