bucket_month,event_type,developer_id,developer_name,repo_artifact_namespace,project_id,relationship_type
2023-03-01,COMMIT_CODE,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,merkletreejs,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,DEVTOOL
2024-10-01,COMMIT_CODE,qAVPATO/X9OFvRm7KwBZ5oRYYMQyDjutQIHGct0jx2w=,0xlinus,kwenta,kCF+D9wyJM2PvCFVlX9aKksPQmQEIKOsEnQUW3Bipog=,BUILDER
2025-01-01,COMMIT_CODE,e+T8jOqaTRNW4wdu/c/ba5QGDLWXtZQ3UQaad/DbSOg=,reinis-frp,across-protocol,PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,BUILDER
2024-10-01,COMMIT_CODE,Ftq/MXSdUESRkD6+9rzQhcRf9j9z10+stL2xoRMXaf8=,karankurbur,worldcoin,hHje/yl10ng5XbAXgyeDEq3hxmOkjscMbS5XNqeAg7Q=,BUILDER
2024-01-01,COMMIT_CODE,Ftq/MXSdUESRkD6+9rzQhcRf9j9z10+stL2xoRMXaf8=,karankurbur,worldcoin,hHje/yl10ng5XbAXgyeDEq3hxmOkjscMbS5XNqeAg7Q=,BUILDER
2024-12-01,COMMIT_CODE,Ftq/MXSdUESRkD6+9rzQhcRf9j9z10+stL2xoRMXaf8=,karankurbur,worldcoin,hHje/yl10ng5XbAXgyeDEq3hxmOkjscMbS5XNqeAg7Q=,BUILDER
2024-11-01,COMMIT_CODE,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,hop-protocol,YHiJ6aGP9ewErBaAX0mIXKnffPEH5HMfEv+nFn0QuHU=,BUILDER
2024-06-01,COMMIT_CODE,TbWiZ1YW05U9Wu6e3eKCcc0Hbnf7rRgWkkidqE0P6Sg=,krboktv,1inch,Y9rXNLJ/h4thc8N6RaRQEp6qaOyGsTOF8UV+xttzzK4=,BUILDER
2024-10-01,COMMIT_CODE,iR8y7jP1yw3qXBugFioOdaBrhCkXPuvt5fnNsGIf7Ig=,ogpoyraz,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2024-12-01,COMMIT_CODE,iR8y7jP1yw3qXBugFioOdaBrhCkXPuvt5fnNsGIf7Ig=,ogpoyraz,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2024-09-01,COMMIT_CODE,iR8y7jP1yw3qXBugFioOdaBrhCkXPuvt5fnNsGIf7Ig=,ogpoyraz,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2025-05-01,COMMIT_CODE,kUqeSYH7L/7h3EHMvOgF0t+/MHWMpYT6cicm66Jz4nA=,alexanderattar,holographxyz,bOfxh42p5sbTXszPNBr2Puo/Pi8K58FoD42L35YvfqE=,BUILDER
2022-02-01,FORKED,TbWiZ1YW05U9Wu6e3eKCcc0Hbnf7rRgWkkidqE0P6Sg=,krboktv,openzeppelin,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,DEVTOOL
2024-02-01,ISSUE_COMMENT,IEpF+OiUuIjEEAO1QKQLAosN83BwTt68cpYQkXzAAE0=,gsteenkamp89,snapshot-labs,uqohyEHaJE/DosOj9+gh3jGny1Nes5mzs2fqeCoIjFw=,DEVTOOL
2024-01-01,PULL_REQUEST_REVIEW_COMMENT,IEpF+OiUuIjEEAO1QKQLAosN83BwTt68cpYQkXzAAE0=,gsteenkamp89,snapshot-labs,uqohyEHaJE/DosOj9+gh3jGny1Nes5mzs2fqeCoIjFw=,DEVTOOL
2021-06-01,ISSUE_COMMENT,zgapAzcQ+d4xJQ/LiCQjaH05/StZw2ESpMAJkEXdixo=,mwamedacen,ethers-io,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,DEVTOOL
2023-08-01,ISSUE_COMMENT,p0T4eE6+vQ6wakPgU/ImSKRcZnuR82k3ctgIFKpe2Ns=,tjcloa,nomicfoundation,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,DEVTOOL
2025-02-01,STARRED,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,paulmillr,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,DEVTOOL
2018-11-01,STARRED,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,protofire,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,DEVTOOL
2022-11-01,ISSUE_COMMENT,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,merkletreejs,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,DEVTOOL
2023-01-01,ISSUE_COMMENT,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,merkletreejs,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,DEVTOOL
2023-08-01,ISSUE_OPENED,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,blockscout,6bUEGWtffrx4mCWJv1FdyFtqQDedZHE9cZ3NmrfOmq4=,DEVTOOL
2021-11-01,ISSUE_OPENED,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,ethers-io,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,DEVTOOL
2021-02-01,STARRED,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,openzeppelin,1MvSmaSGrb163SWKc3GOGOVPaulh39cM9SVPdACdDr4=,DEVTOOL
2021-02-01,ISSUE_COMMENT,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,ethers-io,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,DEVTOOL
2021-04-01,ISSUE_COMMENT,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,ethers-io,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,DEVTOOL
2024-07-01,ISSUE_COMMENT,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,merkletreejs,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,DEVTOOL
2019-01-01,STARRED,COpuGVYBlKPX9ovTL1MkHSJPNCtvBafBaaqTpv+D2hc=,miguelmota,dappnode,UZSaL/0UXqdDxpqfSpbeIu3OmDIpdUn8wjgU+TWzKbw=,DEVTOOL
