project_id,project_name,display_name,total_transaction_count,total_gas_fees,total_active_addresses_count
v2QgByGF4okeRHMJmWN3tqZMxciee/qI2eeSPKK19gk=,axelar,Axelar,2356206,16.319691816180114,171778
SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,woonetwork,WOO Network,2119814,36.223795317608946,134743
vaFWWvAfQKz1t1aqvWwMJ/9bGytUUA+uuzB3Rq5smno=,orb_contracts-johncpalmer,ORB,2100919,0.21220297513146563,1561
Jpscljo0tkzVDYKwVNnTSuR+AFUyy4EHg4AWd+Mdnd4=,hyperlane-xyz,Hyperlane,2097955,107.02535853473984,439228
1XmrMwdqgUb8jliAn9nIScPx7fAicOqIFPW42ioD1x0=,socket,Socket,1970305,22.36110698540328,486180
k51QTl16C/ZunIrGFIMHwuqxXmJO0qugcFKfmR0AGh0=,moonwell-fi,Moonwell,1966190,487.82044553708283,150064
i/gSAlLU7P+FhIOzDQEk2+c5aOXKLmzAQILG8vqqJOE=,lido,Lido,1946975,2.056283642174646,77089
vnYwvqKeR+v3cXdSvJw/4OE/q4eE0/mE/LG1+42b/m4=,supswap,Supswap,1897140,1.3301021443380285,13933
UGZnpKRx9QEG/+8y2PemtAIUF72J4SMm36VEADnsJ5U=,swaap-labs,Swaap Labs,1866313,13.492953822851312,397259
UC5tcNndmH8tCdnc342+GHveHm2UcUu0bRRWa1afnXw=,0xproject,0x,1757468,79.72677714803667,293498
FVz+zWMYy5fkiZqkq9A2jtkExDmMRx9DLe6A/X+BGFU=,eywa-protocol,EYWA Protocol,1724015,25.315621262278384,87722
YmNg07FUN1wtq/iVOviQ90GA+WW5MY6UtBWgxc1f+TE=,openocean-finance,OpenOcean,1718681,75.83142462776249,400929
83vU+yNqkz6za9WCowH5ml+YCTUx0b+oqNLtihWcd88=,dackieswap,DackieSwap,1528877,10.95188735643833,165675
NLx7q8stGGeIkb8Sapz1/mj8qVkwUHilkLSf5FzrvvU=,swapmode,SwapMode,1501888,0.8385984469919129,29092
basFgwEJF3xDpeeLCR22ymRbLOIjykfH6IzUdDJFTpE=,izumi-finance,iZUMi Finance,1483289,18.85371240437801,214571
jW7wQJ6s8lEOc8cb26u+RC9hh3vnUw1QPRAsOMzCxko=,swapbased,SwapBased,1444855,25.581238565566366,152256
8b2HLnQ2tYAjtu/DfLbp665a/JtmiU/ZBBxW0+ZStiA=,morpho-org,morpho-org,1399097,40.585657258588775,94892
wjdEPix6VRVD146SVbP4jwppF24Ji4CqkBq4zv+8hpw=,owlto-finance,Owlto Finance,1328205,2.6940766056560346,69971
dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,metamask,Metamask,1246172,127.48830450134467,345942
VCeNot3diK3Kt0Da9SaRDvcNI1sGdrzyjTW62JUeI0U=,rabbithole,Boost Studios,1165814,6.926346391440534,70446
NMwxMeqwLAUieJgJHRyjvE6q/xw/KfE7em6oi9U1aRc=,xen-crypto-faircrypto,Xen Crypto,1137268,4575.281298028982,31310
