project_id,project_name,display_name,transaction_count,active_days,active_addresses_count,gas_fees,is_eligible,has_defillama_adapter,has_bundle_bear
D/phNjIkMkuESYi0XbICo299wHOagQbo2WSAyODxDp0=,0x62e37e96aa6e1cbfb6bd24b97c4b8f1e12cc3fe35d5388d2f041c42a12b40745,Stargate Finance,1505657,180,219912,13.037652212129572,True,True,False
NdwYMf5FYV0V3mi7zOJ4ABpqc2klQTCimnNKCqvZ4z0=,0x491ffd3c2e4c25ab7fbdbefe0f5fc8dc2beee5ab801287b9c6c93c9c3c810463,SwapMode,1501888,180,29092,0.8385984469919129,True,True,False
WvG0+xCgbgk6IN8ZUd/VRBFLGPobR5t0TCxeWWyBrYQ=,0x8595f830f4d1716621d19bca6394f304837133fb473d8fcd1699e84402df1409,SwapBased,1444855,180,152256,25.581238565566366,True,True,False
bDxpkfd5t/ov2xAQJgRxa1+8NHWM85j0W90gc6Nls1c=,0xda8c593717693ef30f5c62fc2689709784324cfb9b5fe92c9db3a47f596791e5,Morpho ,1399097,180,94892,40.585657258588775,True,True,False
2NhWIeNvC8fOFWoX3/SsLCHtwifSk3TYSEagnfFthIk=,0xb26d9315cec30e60b52efd523c25a260c41d573458b246e60cf2de76eefd15a4,MintSwap Finance,1013847,180,136336,33.677635034132976,True,True,False
RxZsvgAlu4U6NJPHoDaURU2dSy/x7ey1UKzAk3pahTE=,0x2c41bf7b4d36a344881581e20ecb2929d38c3415fffa4bf65f81ae049dfb2e72,PUF,851301,83,119,0.06363918091129593,True,False,False
23XIt7EgzQNc2AdcEzTg7GbjT5kKY1lNFfmcGQvrkWA=,0xefaeef1446de875ab6e50d31c8dbe776f99d884cb8cb68d50b1384067e4aeb6b,Synapse Protocol,847888,180,63925,135.0925279688943,True,True,False
rV6VRIUtgdaeu5+g1y7vloRmK9sbBEl3rFCs1r7OR7A=,0xb926ab918147d2264dba94a429eb07986aa533fd6062a78736d3eda4e0b4a69b,Oku Trade,841246,180,131608,6.3913128970253,True,False,False
1Ll7MLXCxNJFxQCuBEdRnRVk164keWjynVtQJF++xGU=,0x512f97f1de28ad530f752d53bf4f56ed16d34a3121f0512cd5a0485c2074b312,Extra Finance,808367,180,68043,87.64161839724967,True,True,False
b0ma4f7o65FUNGRC2R4eb8Fo7DB6imYfqrM3S0JQ4tc=,0x70ba3cb2e433f1cd9ace8aea84c46d167ba5db12293cd108eaca068d06be3a71,Gains Network (gTrade),764109,158,5341,163.20019348413393,True,True,False
