bucket_month,project_id,developer_id,developer_name,event_type,repo_artifact_namespace,relationship_type
2022-10-01,DIzubrsn/a/8kmeZ2iZY7KzKEcR2CvfHkg9WQZ0rkeA=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,ISSUE_COMMENT,nomicfoundation,DEVTOOL
2024-01-01,o1y6ChRZ6JOEwoiUsf/noqLXSmBlc1X9v+fNY7lA2Ns=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_REVIEW_COMMENT,usecannon,DEVTOOL
2024-01-01,FFp3VPAxieqG6fo9LEtIGBef5T0DzUYfLVnrXOcKAtQ=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_REVIEW_COMMENT,usecannon,DEVTOOL
2023-01-01,DIzubrsn/a/8kmeZ2iZY7KzKEcR2CvfHkg9WQZ0rkeA=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,ISSUE_COMMENT,nomicfoundation,DEVTOOL
2017-04-01,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,1Uwuv4Muj0zTH/GZeVRIYPsDSWttC1unYIw8DwxytrQ=,slavik0329,STARRED,ethers-io,DEVTOOL
2023-05-01,Ze2CblnBaz2Apm6a00KjwAZ7N4K5yxDUpXlK+mDkwJw=,1Uwuv4Muj0zTH/GZeVRIYPsDSWttC1unYIw8DwxytrQ=,slavik0329,COMMIT_CODE,ethereum-attestation-service,DEVTOOL
2020-01-01,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,Ocvo//zm0CsNFeH1F4NBY1enu/klWxJ+xddaRt6N43Q=,mirceanis,PULL_REQUEST_OPENED,protofire,DEVTOOL
2022-05-01,o1y6ChRZ6JOEwoiUsf/noqLXSmBlc1X9v+fNY7lA2Ns=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_REVIEW_COMMENT,usecannon,DEVTOOL
2022-09-01,o1y6ChRZ6JOEwoiUsf/noqLXSmBlc1X9v+fNY7lA2Ns=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_OPENED,usecannon,DEVTOOL
2020-06-01,CgkycgswSzo7Brgjj4YzC6Gbc0QVAof11N2O2WIjBPc=,gaBTavip23SpwOujKmL30sqtM1FKiQyejdU8J9u/YEw=,forshtat,ISSUE_COMMENT,ethereum,DEVTOOL
2021-11-01,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,JZjfnU/dNa0BxIIctfsZLL3fW0ZC3wWlOprGuwPIKW4=,siegrift,ISSUE_COMMENT,protofire,DEVTOOL
2023-03-01,E5usljx7n+jlIk9QsYETSlyKz0rdIo9jeCFUzDrO3Qk=,1Uwuv4Muj0zTH/GZeVRIYPsDSWttC1unYIw8DwxytrQ=,slavik0329,ISSUE_COMMENT,ethers-io,DEVTOOL
2023-11-01,FT3wZj26UAebMH4ywu7oQvrie1GQSmu9aogl40bsCWQ=,K98oIOAyL0Zx/2SMuv2Hvwk0JDDAgyc0/+5xkOKptGk=,saucepoint,STARRED,pcaversaccio,DEVTOOL
2021-05-01,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,/HFkDRex5raY697wWI48cvrmd92j3O7wLk2SMm7gppY=,remedcu,ISSUE_OPENED,ethereum,DEVTOOL
2022-07-01,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,Hk5A+uCcyqwej79ywoo3+3SXHNPV3LnADbTooMPJsMw=,elshan-eth,ISSUE_OPENED,ethereum,DEVTOOL
2022-07-01,E5usljx7n+jlIk9QsYETSlyKz0rdIo9jeCFUzDrO3Qk=,O0flV4PEmHJcl2trC/40rkpZF/LT98rJv5OoY177pKY=,sakulstra,ISSUE_OPENED,ethers-io,DEVTOOL
2022-11-01,FFp3VPAxieqG6fo9LEtIGBef5T0DzUYfLVnrXOcKAtQ=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_OPENED,usecannon,DEVTOOL
2024-12-01,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,mwjJolA/2x7p41uX9Yol5U1+rEtXCe/i1SnVLh3m1tw=,iamacook,PULL_REQUEST_OPENED,wevm,DEVTOOL
2022-07-01,EFNan6yoGom5N81+Hlb8ZSQdM3B1+iJRRM0TxITQeG8=,Hk5A+uCcyqwej79ywoo3+3SXHNPV3LnADbTooMPJsMw=,elshan-eth,FORKED,openzeppelin,DEVTOOL
2023-12-01,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,/HFkDRex5raY697wWI48cvrmd92j3O7wLk2SMm7gppY=,remedcu,FORKED,sc-forks,DEVTOOL
2025-02-01,mdb4FjuCCmOI5Tc+xwDeXfQd/1Nm2o7JZy8ZHzlxC9o=,K98oIOAyL0Zx/2SMuv2Hvwk0JDDAgyc0/+5xkOKptGk=,saucepoint,STARRED,flayerlabs,DEVTOOL
2025-02-01,8Cgztczct8fnsJW6D2OQcFRY6nClKNyOC7Le0soED94=,K98oIOAyL0Zx/2SMuv2Hvwk0JDDAgyc0/+5xkOKptGk=,saucepoint,STARRED,flayerlabs,DEVTOOL
2017-04-01,E5usljx7n+jlIk9QsYETSlyKz0rdIo9jeCFUzDrO3Qk=,1Uwuv4Muj0zTH/GZeVRIYPsDSWttC1unYIw8DwxytrQ=,slavik0329,PULL_REQUEST_OPENED,ethers-io,DEVTOOL
2023-06-01,Ze2CblnBaz2Apm6a00KjwAZ7N4K5yxDUpXlK+mDkwJw=,1Uwuv4Muj0zTH/GZeVRIYPsDSWttC1unYIw8DwxytrQ=,slavik0329,PULL_REQUEST_OPENED,ethereum-attestation-service,DEVTOOL
2023-06-01,KLkMfahLmIEtzAbihkJ4U9p0e/3zWn0iN6xBrwN++lU=,1Uwuv4Muj0zTH/GZeVRIYPsDSWttC1unYIw8DwxytrQ=,slavik0329,COMMIT_CODE,ethereum-attestation-service,BUILDER
2023-07-01,Ze2CblnBaz2Apm6a00KjwAZ7N4K5yxDUpXlK+mDkwJw=,1Uwuv4Muj0zTH/GZeVRIYPsDSWttC1unYIw8DwxytrQ=,slavik0329,COMMIT_CODE,ethereum-attestation-service,DEVTOOL
2023-07-01,KLkMfahLmIEtzAbihkJ4U9p0e/3zWn0iN6xBrwN++lU=,1Uwuv4Muj0zTH/GZeVRIYPsDSWttC1unYIw8DwxytrQ=,slavik0329,COMMIT_CODE,ethereum-attestation-service,BUILDER
2024-05-01,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,O0flV4PEmHJcl2trC/40rkpZF/LT98rJv5OoY177pKY=,sakulstra,ISSUE_OPENED,wevm,DEVTOOL
2024-11-01,iFwvhinW6hRuD/1dIGR7QqYwJTFdfgyLFhWW5Lhp/j4=,mwjJolA/2x7p41uX9Yol5U1+rEtXCe/i1SnVLh3m1tw=,iamacook,FORKED,wevm,DEVTOOL
2022-11-01,EFNan6yoGom5N81+Hlb8ZSQdM3B1+iJRRM0TxITQeG8=,/HFkDRex5raY697wWI48cvrmd92j3O7wLk2SMm7gppY=,remedcu,STARRED,openzeppelin,DEVTOOL
2022-10-01,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,PULL_REQUEST_OPENED,nomicfoundation,DEVTOOL
